AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379218 function calls (361640 primitive calls) in 0.373 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       49    0.000    0.000    0.001    0.000 dataclasses.py:722(_get_field)
       47    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       47    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       45    0.000    0.000    0.003    0.000 css_parser.py:997(<listcomp>)
    45/14    0.001    0.000    0.017    0.001 css_parser.py:847(parse_selectors)
       44    0.000    0.000    0.001    0.000 typing.py:1350(__init_subclass__)
       44    0.000    0.000    0.000    0.000 dataclasses.py:602(<genexpr>)
       43    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       43    0.000    0.000    0.000    0.000 ipaddress.py:1878(__init__)
       43    0.000    0.000    0.000    0.000 typing.py:722(__init__)
       43    0.000    0.000    0.000    0.000 typing.py:810(<genexpr>)
       43    0.000    0.000    0.001    0.000 typing.py:801(__init__)
       43    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       42    0.000    0.000    0.000    0.000 inspect.py:2699(kind)
    41/32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       41    0.000    0.000    0.000    0.000 typing.py:1107(__mro_entries__)
       41    0.000    0.000    0.001    0.000 enum.py:980(__or__)
    41/32    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       39    0.000    0.000    0.000    0.000 functools.py:65(wraps)
    38/16    0.000    0.000    0.000    0.000 typing.py:320(_eval_type)
       38    0.000    0.000    0.000    0.000 typing.py:2018(overload)
       37    0.000    0.000    0.002    0.000 typing.py:1323(__class_getitem__)
       37    0.000    0.000    0.000    0.000 dataclasses.py:448(_field_init)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
