('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         541098 function calls (522232 primitive calls) in 1.950 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      305    0.000    0.000    0.000    0.000 types.py:176(__get__)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
     1171    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1332    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      250    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      183    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       38    0.000    0.000    0.001    0.000 element.py:273(get_text)
     1659    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
        3    0.000    0.000    0.033    0.011 utils.py:1(<module>)
       70    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
       11    0.000    0.000    0.001    0.000 enum.py:1026(_decompose)
    73/33    0.000    0.000    0.215    0.007 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
      571    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
  144/138    0.000    0.000    0.007    0.000 typing.py:306(inner)
      105    0.000    0.000    0.024    0.000 response.py:994(_update_chunk_length)
      387    0.000    0.000    0.000    0.000 __init__.py:773(handle_data)
      725    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      575    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      325    0.000    0.000    0.180    0.001 re.py:249(compile)
      366    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
        1    0.000    0.000    0.016    0.016 socket.py:1(<module>)
        1    0.000    0.000    1.558    1.558 financial.py:8(fetch_financial_data)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1532    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
      268    0.000    0.000    0.001    0.000 css_parser.py:332(match)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
      575    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       56    0.000    0.000    0.683    0.012 {method 'readline' of '_io.BufferedReader' objects}
     1311    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
        1    0.000    0.000    0.011    0.011 _common.py:1(<module>)
      235    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
    82/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      472    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       29    0.000    0.000    0.002    0.000 typing.py:483(Union)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
      295    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
       46    0.000    0.000    0.002    0.000 abc.py:105(__new__)
      184    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      205    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
       93    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      386    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
        2    0.000    0.000    0.004    0.002 models.py:1(<module>)
       40    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      109    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       35    0.000    0.000    0.000    0.000 element.py:2155(__init__)
        1    0.000    0.000    1.559    1.559 financial.py:29(main)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       10    0.000    0.000    0.005    0.000 enum.py:483(_create_)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        1    0.000    0.000    0.000    0.000 _collections.py:337(extend)
      232    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      221    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        1    0.000    0.000    0.037    0.037 dammit.py:67(EntitySubstitution)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      547    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      178    0.000    0.000    0.008    0.000 sre_parse.py:97(closegroup)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      216    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      104    0.000    0.000    0.606    0.006 models.py:812(generate)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      328    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        1    0.000    0.000    0.000    0.000 response.py:115(__init__)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      265    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      945    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       73    0.000    0.000    0.003    0.000 typing.py:947(__init__)
       29    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       48    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
      104    0.000    0.000    0.606    0.006 response.py:912(stream)
    30/13    0.000    0.000    0.256    0.020 {built-in method builtins.__import__}
       15    0.000    0.000    0.048    0.003 css_parser.py:294(__init__)
        2    0.000    0.000    0.101    0.050 exceptions.py:1(<module>)
        1    0.000    0.000    0.660    0.660 client.py:311(begin)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
      329    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.006    0.003 connection.py:1(<module>)
       76    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
       28    0.000    0.000    0.003    0.000 typing.py:1138(__getitem__)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
       11    0.000    0.000    0.001    0.000 enum.py:947(_create_pseudo_member_)
       35    0.000    0.000    0.023    0.001 element.py:2013(find_all)
    35/27    0.000    0.000    0.013    0.000 css_parser.py:557(parse_pseudo_class)
        8    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       33    0.000    0.000    0.008    0.000 element.py:1987(find)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      131    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1606(_ip_int_from_string)
        1    0.000    0.000    0.009    0.009 ssl.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        2    0.000    0.000    0.007    0.003 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
       10    0.000    0.000    0.015    0.002 enum.py:536(_convert_)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
        1    0.000    0.000    0.008    0.008 financial.py:19(<listcomp>)
       47    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.083    0.083 css_parser.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      183    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.661    0.661 connection.py:435(getresponse)
      325    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
       95    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.043    0.043 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1192(ZipFile)
      305    0.000    0.000    0.000    0.000 enum.py:801(value)
      387    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       19    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       41    0.000    0.000    0.004    0.000 typing.py:1147(copy_with)
        2    0.000    0.000    0.000    0.000 message.py:120(__init__)
        3    0.000    0.000    0.005    0.002 response.py:1(<module>)
        1    0.000    0.000    0.029    0.029 url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      132    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      223    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
       33    0.000    0.000    0.000    0.000 __init__.py:648(_linkage_fixer)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2178(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:800(SpooledTemporaryFile)
       67    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
    53/32    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
    31/26    0.000    0.000    0.013    0.000 css_parser.py:704(parse_pseudo_open)
        1    0.000    0.000    0.014    0.014 connectionpool.py:1(<module>)
      126    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       53    0.000    0.000    0.001    0.000 typing.py:664(__init__)
