AssertionError: ('Bad return', ('profile', 0, 'main()'))
         379140 function calls (361575 primitive calls) in 0.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.000    0.000    0.000    0.000 dataclasses.py:824(_set_new_attribute)
    28/15    0.000    0.000    0.170    0.011 {built-in method builtins.__import__}
        2    0.000    0.000    0.040    0.020 _models.py:1(<module>)
       61    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       30    0.000    0.000    0.002    0.000 typing.py:523(Optional)
      904    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      308    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      106    0.000    0.000    0.000    0.000 dataclasses.py:817(_set_qualname)
      559    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       13    0.000    0.000    0.008    0.001 enum.py:536(_convert_)
    35/27    0.000    0.000    0.013    0.000 css_parser.py:557(parse_pseudo_class)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1606(_ip_int_from_string)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       24    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
        1    0.000    0.000    0.172    0.172 _client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.079    0.079 css_parser.py:1(<module>)
        2    0.000    0.000    0.007    0.003 _utils.py:1(<module>)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
      237    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.038    0.038 request.py:1(<module>)
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
        2    0.000    0.000    0.017    0.008 http11.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      612    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       52    0.000    0.000    0.001    0.000 typing.py:664(__init__)
       22    0.000    0.000    0.000    0.000 dataclasses.py:227(_recursive_repr)
        1    0.000    0.000    0.000    0.000 zipfile.py:1946(PyZipFile)
      239    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        4    0.000    0.000    0.002    0.000 _exceptions.py:1(<module>)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
    41/32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 _base.py:327(Future)
        2    0.000    0.000    0.043    0.022 _synchronization.py:1(<module>)
       22    0.000    0.000    0.002    0.000 dataclasses.py:587(_repr_fn)
        6    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
       41    0.000    0.000    0.000    0.000 enum.py:980(__or__)
      267    0.000    0.000    0.000    0.000 dataclasses.py:424(<genexpr>)
       24    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
      158    0.000    0.000    0.001    0.000 typing.py:1143(<genexpr>)
      211    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
       43    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:983(clear)
    31/26    0.000    0.000    0.012    0.000 css_parser.py:704(parse_pseudo_open)
        2    0.000    0.000    0.234    0.117 _api.py:1(<module>)
       41    0.000    0.000    0.000    0.000 typing.py:1107(__mro_entries__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      465    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.005    0.003 _streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       19    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       28    0.000    0.000    0.000    0.000 ipaddress.py:2178(__init__)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
       24    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       86    0.000    0.000    0.000    0.000 re.py:269(escape)
      115    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        2    0.000    0.000    0.022    0.011 parser.py:1(<module>)
       17    0.000    0.000    0.001    0.000 typing.py:1194(__getitem__)
       13    0.000    0.000    0.003    0.000 dataclasses.py:598(_frozen_get_del_attr)
        1    0.000    0.000    0.000    0.000 ssl.py:480(SSLContext)
        3    0.000    0.000    0.001    0.000 typing.py:1773(get_type_hints)
       45    0.000    0.000    0.003    0.000 css_parser.py:997(<listcomp>)
       21    0.000    0.000    0.000    0.000 inspect.py:2637(__init__)
        2    0.000    0.000    0.004    0.002 _eventloop.py:1(<module>)
        9    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
