('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         540742 function calls (521915 primitive calls) in 1.675 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.006    0.002 response.py:1(<module>)
        8    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       73    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       95    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      216    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       41    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
       49    0.000    0.000    0.001    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        1    0.000    0.000    0.033    0.033 url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        2    0.000    0.000    0.007    0.003 request.py:1(<module>)
        1    0.000    0.000    0.077    0.077 css_parser.py:1(<module>)
        2    0.000    0.000    0.005    0.003 connection.py:1(<module>)
       67    0.000    0.000    0.003    0.000 _htmlparser.py:90(handle_startendtag)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       33    0.000    0.000    0.000    0.000 __init__.py:648(_linkage_fixer)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       76    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       32    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.015    0.015 cookiejar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       46    0.000    0.000    0.001    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.036    0.036 ssl_.py:1(<module>)
       47    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
      169    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      305    0.000    0.000    0.000    0.000 enum.py:801(value)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2178(__init__)
      132    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
        2    0.000    0.000    0.002    0.001 models.py:1(<module>)
       54    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.077    0.038 exceptions.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
        1    0.000    0.000    0.000    0.000 tempfile.py:800(SpooledTemporaryFile)
      387    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       48    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
       10    0.000    0.000    0.006    0.001 enum.py:536(_convert_)
       33    0.000    0.000    0.005    0.000 element.py:1987(find)
       35    0.000    0.000    0.020    0.001 element.py:2013(find_all)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      223    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
    31/26    0.000    0.000    0.012    0.000 css_parser.py:704(parse_pseudo_open)
        1    0.000    0.000    0.000    0.000 zipfile.py:1192(ZipFile)
        2    0.000    0.000    0.003    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.008    0.008 sbcsgroupprober.py:1(<module>)
      465    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
    53/32    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
       19    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      185    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
       11    0.000    0.000    0.000    0.000 parse.py:444(urlsplit)
       11    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        6    0.000    0.000    0.002    0.000 typing.py:2267(__new__)
        1    0.000    0.000    0.005    0.005 financial.py:18(<listcomp>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
